STATUS;VALID_ON;LOT_TYPE_FK;IDE_LIMIT_REF;CDE_C013;RCA_INCREASING_AMOUNT;TYP_CP_MOB_CD;TYP_COND_CREDIT;TYP_OWN_FUND_GUAR;PRD_PRODUCT;CDE_C022;AUDIT_INFO
5;20240331;1;LIM_300551;;;;2;;;;
5;20240331;1;LIM_300555;;;;2;;;;
5;20240331;1;LIM_300567;;;;2;;;;
5;20240331;1;LIM_300570;;;;2;;;;
5;20240331;1;LIM_300572;;;;2;;;;
5;20240331;1;LIM_300573;;;;2;;;;
5;20240331;1;LIM_300579;;;;2;;;;
5;20240331;1;LIM_300588;;;;2;;;;
5;20240331;1;LIM_300591;;;;2;;;;
5;20240331;1;LIM_300593;;;;2;;;;
5;20240331;1;LIM_300594;;;;2;;;;
5;20240331;1;LIM_300595;;;;2;;;;
5;20240331;1;LIM_300599;;;;2;;;;
5;20240331;1;LIM_300601;;;;2;;;;
5;20240331;1;LIM_300606;;;;2;;;;
5;20240331;1;LIM_300608;;;;2;;;;
5;20240331;1;LIM_300617;;;;2;;;;
5;20240331;1;LIM_300619;;;;2;;;;
5;20240331;1;LIM_300623;;;;2;;;;
5;20240331;1;LIM_300631;;;;2;;;;
5;20240331;1;LIM_300639;;;;2;;;;
5;20240331;1;LIM_300643;;;;2;;;;
5;20240331;1;LIM_300647;;;;2;;;;
5;20240331;1;LIM_300651;;;;2;;;;
5;20240331;1;LIM_300658;;;;2;;;;
5;20240331;1;LIM_300662;;;;2;;;;
5;20240331;1;LIM_300664;;;;2;;;;
5;20240331;1;LIM_300670;;;;2;;;;
5;20240331;1;LIM_300677;;;;2;;;;
5;20240331;1;LIM_300687;;;;2;;;;
5;20240331;1;LIM_300688;;;;2;;;;
5;20240331;1;LIM_300702;;;;2;;;;
5;20240331;1;LIM_300714;;;;2;;;;
5;20240331;1;LIM_300715;;;;2;;;;
5;20240331;1;LIM_300716;;;;2;;;;
5;20240331;1;LIM_300720;;;;2;;;;
5;20240331;1;LIM_300722;;;;2;;;;
5;20240331;1;LIM_300729;;;;2;;;;
5;20240331;1;LIM_300738;;;;2;;;;
5;20240331;1;LIM_300747;;;;2;;;;
5;20240331;1;LIM_300751;;;;2;;;;
5;20240331;1;LIM_300753;;;;2;;;;
5;20240331;1;LIM_300754;;;;2;;;;
5;20240331;1;LIM_300767;;;;2;;;;
5;20240331;1;LIM_300776;;;;2;;;;
5;20240331;1;LIM_300783;;;;2;;;;
5;20240331;1;LIM_300790;;;;2;;;;
5;20240331;1;LIM_300791;;;;2;;;;
5;20240331;1;LIM_300811;;;;2;;;;
5;20240331;1;LIM_300818;;;;2;;;;
5;20240331;1;LIM_300819;;;;2;;;;
5;20240331;1;LIM_300836;;;;2;;;;
5;20240331;1;LIM_300837;;;;2;;;;
5;20240331;1;LIM_300850;;;;2;;;;
5;20240331;1;LIM_300856;;;;2;;;;
5;20240331;1;LIM_300858;;;;2;;;;
5;20240331;1;LIM_300862;;;;2;;;;
5;20240331;1;LIM_300866;;;;2;;;;
5;20240331;1;LIM_300869;;;;2;;;;
5;20240331;1;LIM_300871;;;;2;;;;
5;20240331;1;LIM_300873;;;;2;;;;
5;20240331;1;LIM_300875;;;;2;;;;
5;20240331;1;LIM_300883;;;;2;;;;
5;20240331;1;LIM_300898;;;;2;;;;
5;20240331;1;LIM_300903;;;;2;;;;
5;20240331;1;LIM_300904;;;;2;;;;
5;20240331;1;LIM_300914;;;;2;;;;
5;20240331;1;LIM_300918;;;;2;;;;
5;20240331;1;LIM_300923;;;;2;;;;
5;20240331;1;LIM_300925;;;;2;;;;
5;20240331;1;LIM_300930;;;;2;;;;
5;20240331;1;LIM_300933;;;;2;;;;
5;20240331;1;LIM_300934;;;;2;;;;
5;20240331;1;LIM_300939;;;;2;;;;
5;20240331;1;LIM_300941;;;;2;;;;
5;20240331;1;LIM_300959;;;;2;;;;
5;20240331;1;LIM_300968;;;;2;;;;
5;20240331;1;LIM_300969;;;;2;;;;
5;20240331;1;LIM_300971;;;;2;;;;
5;20240331;1;LIM_300975;;;;2;;;;
5;20240331;1;LIM_300978;;;;2;;;;
5;20240331;1;LIM_300979;;;;2;;;;
5;20240331;1;LIM_300985;;;;2;;;;
5;20240331;1;LIM_300989;;;;2;;;;
5;20240331;1;LIM_300990;;;;2;;;;
5;20240331;1;LIM_300992;;;;2;;;;
5;20240331;1;LIM_300995;;;;2;;;;
5;20240331;1;LIM_300998;;;;2;;;;
5;20240331;1;LIM_301000;;;;2;;;;
5;20240331;1;LIM_301004;;;;2;;;;
5;20240331;1;LIM_301005;;;;2;;;;
5;20240331;1;LIM_301010;;;;2;;;;
5;20240331;1;LIM_301011;;;;2;;;;
5;20240331;1;LIM_301012;;;;2;;;;
5;20240331;1;LIM_301014;;;;2;;;;
5;20240331;1;LIM_301015;;;;2;;;;
5;20240331;1;LIM_301016;;;;2;;;;
5;20240331;1;LIM_301018;;;;2;;;;
5;20240331;1;LIM_301020;;;;2;;;;
5;20240331;1;LIM_301021;;;;2;;;;
5;20240331;1;LIM_301022;;;;2;;;;
5;20240331;1;LIM_301029;;;;2;;;;
5;20240331;1;LIM_301030;;;;2;;;;
5;20240331;1;LIM_301038;;;;2;;;;
5;20240331;1;LIM_301048;;;;2;;;;
5;20240331;1;LIM_301049;;;;2;;;;
5;20240331;1;LIM_301051;;;;2;;;;
5;20240331;1;LIM_301059;;;;2;;;;
5;20240331;1;LIM_301060;;;;2;;;;
