STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;IDE_INTERNAL_PARTY_REF;IDE_CONTRACT_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_AMOUNT;DTE_VALUE;IDE_SCENARIO_FK;AUDIT_INFO
5;20240331;1;PRL_5162390;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162391;CTP_CKV;;1;EUR;51288.72;51288.72;1;31/03/2024;1;
5;20240331;1;PRL_5162392;CTP_CKV;;1;EUR;500016.19;500016.19;1;31/03/2024;1;
5;20240331;1;PRL_5162393;CTP_CKV;;1;EUR;366873.15;366873.15;1;31/03/2024;1;
5;20240331;1;PRL_5162394;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5162395;CTP_CKV;;1;EUR;121697.30;121697.30;1;31/03/2024;1;
5;20240331;1;PRL_5162396;CTP_CKV;;1;EUR;34227.03;34227.03;1;31/03/2024;1;
5;20240331;1;PRL_5162397;CTP_CKV;;1;EUR;6316.25;6316.25;1;31/03/2024;1;
5;20240331;1;PRL_5162430;CTP_CKV;;1;EUR;72868.33;72868.33;1;31/03/2024;1;
5;20240331;1;PRL_5162440;CTP_CKV;;1;EUR;862.96;862.96;1;31/03/2024;1;
5;20240331;1;PRL_5171110;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5171120;CTP_CKV;;1;EUR;174000.00;174000.00;1;31/03/2024;1;
5;20240331;1;PRL_5171200;CTP_CKV;;1;EUR;75638.27;75638.27;1;31/03/2024;1;
5;20240331;1;PRL_5171210;CTP_CKV;;1;EUR;75638.27;75638.27;1;31/03/2024;1;
5;20240331;1;PRL_5174300;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5181000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5182000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5241010;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5241020;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5250000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5251000;CTP_CKV;;1;EUR;0.02;0.02;1;31/03/2024;1;
5;20240331;1;PRL_5310000;CTP_CKV;;1;EUR;1086896.80;1086896.80;1;31/03/2024;1;
5;20240331;1;PRL_5311000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5312000;CTP_CKV;;1;EUR;814.65;814.65;1;31/03/2024;1;
5;20240331;1;PRL_5313000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5314000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5320000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5400000;CTP_CKV;;1;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5520000;CTP_CKV;;2;EUR;0.00;0.00;1;31/03/2024;1;
5;20240331;1;PRL_5600000;CTP_CKV;;2;EUR;0.00;0.00;1;31/03/2024;1;
