STATUS;VALID_ON;LOT_TYPE_FK;CDE_INTERNAL_RATING;CCY_ISO_CURRENCY;DES_INTERNAL_RATING;IDE_COUNTERPARTY_REF;IDE_LIMIT_REF;IDE_RATING_INT_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;TYP_CREDIT_ASSESSMENT
5;20240331;1;2;EUR;;GRP_1003997;;POS_603983;CON_1003997;CTP_CKV;03/05/2018;;
5;20240331;1;2;EUR;;GRP_1003997;;POS_603984;CON_1003997;CTP_CKV;28/03/2018;;
5;20240331;1;2;EUR;;GRP_1004002;;POS_603993;CON_1004002;CTP_CKV;15/11/2017;;
5;20240331;1;2;EUR;;GRP_1002071;;POS_603996;CON_1002071;CTP_CKV;24/10/2023;;
5;20240331;1;2;EUR;;GRP_1004008;;POS_604000;CON_1004008;CTP_CKV;17/11/2017;;
5;20240331;1;5;EUR;;GRP_1004009;;POS_604002;CON_1004009;CTP_CKV;07/03/2024;;
5;20240331;1;5;EUR;;GRP_1004009;;POS_604003;CON_1004009;CTP_CKV;07/03/2024;;
5;20240331;1;5;EUR;;GRP_1004010;;POS_604004;CON_1004010;CTP_CKV;12/04/2019;;
5;20240331;1;5;EUR;;GRP_1004010;;POS_604005;CON_1004010;CTP_CKV;12/04/2019;;
5;20240331;1;2;EUR;;GRP_0953082;;POS_604009;CON_0953082;CTP_CKV;16/11/2017;;
5;20240331;1;4;EUR;;GRP_1004017;;POS_604013;CON_1004017;CTP_CKV;17/10/2018;;
5;20240331;1;2;EUR;;GRP_1004019;;POS_604016;CON_1004019;CTP_CKV;22/11/2017;;
5;20240331;1;2;EUR;;GRP_1004019;;POS_604017;CON_1004019;CTP_CKV;22/11/2017;;
5;20240331;1;2;EUR;;GRP_1004024;;POS_604024;CON_1004024;CTP_CKV;02/11/2019;;
5;20240331;1;2;EUR;;GRP_1004025;;POS_604025;CON_1004025;CTP_CKV;23/05/2023;;
5;20240331;1;2;EUR;;GRP_1004028;;POS_604028;CON_1004028;CTP_CKV;02/11/2019;;
5;20240331;1;2;EUR;;GRP_1004030;;POS_604032;CON_1004030;CTP_CKV;14/01/2020;;
5;20240331;1;3;EUR;;GRP_1004033;;POS_604036;CON_1004033;CTP_CKV;04/12/2023;;
5;20240331;1;2;EUR;;GRP_1004034;;POS_604037;CON_1004034;CTP_CKV;23/11/2017;;
5;20240331;1;2;EUR;;GRP_1004035;;POS_604038;CON_1004035;CTP_CKV;01/06/2018;;
5;20240331;1;2;EUR;;GRP_1004036;;POS_604039;CON_1004036;CTP_CKV;22/11/2017;;
5;20240331;1;2;EUR;;GRP_1004036;;POS_604040;CON_1004036;CTP_CKV;22/11/2017;;
5;20240331;1;2;EUR;;GRP_1004037;;POS_604041;CON_1004037;CTP_CKV;22/11/2017;;
