STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;TYP_ENTRY_TYPE;DTE_MATURITY;IDE_COUNTERPARTY_REF;IDE_SOURCESYS_REF;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;IDE_ISSUER_REF;PRD_PRODUCT;TYP_COLLATERAL;TYP_PORTFOLIO;AUDIT_INFO;CDE_RE_NUTS3;CTY_ASSET_LOCATION;TYP_COLL_VAL_APPR;DES_POSTALCODE;TYP_SUBSTITUTION;IDE_COLL_TO_POSITION_REF;TYP_REHYPOTH;TYP_SOLD_REPLEDGED;PER_LE_EXEMPT;IDE_INTERNAL_ONE;IDE_INTERNAL_TWO;IDE_INTERNAL_THREE
5;20240331;1;POS_1009766_HI_01;2;01/07/2030;GRP_1009766;PROGRESS 400LDLN;CON_1009766;CTP_CKV;;601001;120200;0;;FR825;FR;4;83350;;;;;;100,00;00,00;24259
5;20240331;1;POS_1009767_HI_01;2;01/07/2030;GRP_1009767;PROGRESS 400LDLN;CON_1009767;CTP_CKV;;601001;120200;0;;FR101;FR;4;75017;;;;;;100,00;00,00;24355
5;20240331;1;POS_1009768_HI_01;2;01/07/2030;GRP_1009768;PROGRESS 400LDLN;CON_1009768;CTP_CKV;;601001;120100;0;;FR524;FR;4;56470;;;;;;100,00;00,00;24356
5;20240331;1;POS_1009769_HI_02;2;01/07/2027;GRP_1009769;PROGRESS 400LDLN;CON_1009769;CTP_CKV;;601001;120200;0;;FR825;FR;4;83700;;;;;;100,00;00,00;24358
5;20240331;1;POS_1009771_HI_01;2;01/07/2050;GRP_1009771;PROGRESS 400LDLN;CON_1009771;CTP_CKV;;601001;120200;0;;BE241;BE;4;1703;;;;;;100,00;00,00;23499
5;20240331;1;POS_1009771_HI_02;2;01/07/2050;GRP_1009771;PROGRESS 400LDLN;CON_1009771;CTP_CKV;;601001;120200;0;;BE241;BE;4;1700;;;;;;100,00;00,00;24330
5;20240331;1;POS_1009771_HI_03;2;01/07/2050;GRP_1009771;PROGRESS 400LDLN;CON_1009771;CTP_CKV;;601001;120200;0;;BE241;BE;4;1701;;;;;;100,00;00,00;24331
5;20240331;1;POS_1009773_HI_01;2;01/07/2030;GRP_1009773;PROGRESS 400LDLN;CON_1009773;CTP_CKV;;601001;120200;0;;FR105;FR;4;92200;;;;;;100,00;00,00;16722
5;20240331;1;POS_1009773_HI_02;2;01/07/2030;GRP_1009773;PROGRESS 400LDLN;CON_1009773;CTP_CKV;;601001;120200;0;;FR221;FR;4;02570;;;;;;100,00;00,00;24100
5;20240331;1;POS_1009775_HI_01;2;01/07/2040;GRP_1009775;PROGRESS 400LDLN;CON_1009775;CTP_CKV;;601001;120200;0;;BE310;BE;4;1370;;;;;;100,00;00,00;24219
5;20240331;1;POS_1009777_HI_01;2;01/07/2040;GRP_1009777;PROGRESS 400LDLN;CON_1009777;CTP_CKV;;601001;120200;0;;BE212;BE;4;2570;;;;;;100,00;00,00;23966
5;20240331;1;POS_1009777_HI_02;2;01/07/2040;GRP_1009777;PROGRESS 400LDLN;CON_1009777;CTP_CKV;;601001;120200;0;;BE100;BE;4;1140;;;;;;100,00;00,00;23967
5;20240331;1;POS_1009778_HI_01;2;01/07/2035;GRP_1009778;PROGRESS 400LDLN;CON_1009778;CTP_CKV;;601001;120200;0;;BE242;BE;4;3440;;;;;;100,00;00,00;24098
5;20240331;1;POS_1009779_HI_01;2;01/07/2030;GRP_1009779;PROGRESS 400LDLN;CON_1009779;CTP_CKV;;601001;120200;0;;FR824;FR;4;13210;;;;;;100,00;00,00;24263
5;20240331;1;POS_1009780_HI_01;2;01/07/2030;GRP_1009780;PROGRESS 400LDLN;CON_1009780;CTP_CKV;;601001;120200;0;;FR823;FR;4;06160;;;;;;100,00;00,00;24266
5;20240331;1;POS_1009781_HI_01;2;01/07/2030;GRP_1009781;PROGRESS 400LDLN;CON_1009781;CTP_CKV;;601001;120200;0;;BE251;BE;4;8300;;;;;;100,00;00,00;24366
5;20240331;1;POS_1009782_HI_01;2;01/07/2030;GRP_1009782;PROGRESS 400LDLN;CON_1009782;CTP_CKV;;601001;120200;0;;FR823;FR;4;06000;;;;;;100,00;00,00;24363
5;20240331;1;POS_1009785_HI_01;2;01/07/2030;GRP_1009785;PROGRESS 400LDLN;CON_1009785;CTP_CKV;;601001;120200;0;;FR612;FR;4;33950;;;;;;100,00;00,00;24364
5;20240331;1;POS_1009787_HI_01;2;01/07/2035;GRP_1009787;PROGRESS 400LDLN;CON_1009787;CTP_CKV;;601001;120200;0;;FR511;FR;4;44500;;;;;;100,00;00,00;24378
5;20240331;1;POS_1009791_HI_01;2;01/07/2030;GRP_1009791;PROGRESS 400LDLN;CON_1009791;CTP_CKV;;601001;120200;0;;FR101;FR;4;75007;;;;;;100,00;00,00;24379
5;20240331;1;POS_1009792_HI_01;2;01/10/2032;GRP_1009792;PROGRESS 400LDLN;CON_1009792;CTP_CKV;;601001;120100;0;;BE255;BE;4;8431;;;;;;100,00;00,00;16311
5;20240331;1;POS_1009792_HI_02;2;01/10/2032;GRP_1009792;PROGRESS 400LDLN;CON_1009792;CTP_CKV;;601001;120100;0;;BE255;BE;4;8431;;;;;;00,00;100,00;16312
5;20240331;1;POS_1009795_HI_01;2;01/07/2030;GRP_1009795;PROGRESS 400LDLN;CON_1009795;CTP_CKV;;601001;120200;0;;FR825;FR;4;83720;;;;;;100,00;00,00;24381
5;20240331;1;POS_1009796_HI_01;2;01/07/2030;GRP_1009796;PROGRESS 400LDLN;CON_1009796;CTP_CKV;;601001;120200;0;;FR101;FR;4;75018;;;;;;100,00;00,00;24283
5;20240331;1;POS_1009799_HI_01;2;01/07/2030;GRP_1009799;PROGRESS 400LDLN;CON_1009799;CTP_CKV;;601001;120200;0;;FR825;FR;4;83400;;;;;;100,00;00,00;15209
5;20240331;1;POS_1009799_HI_02;2;01/07/2030;GRP_1009799;PROGRESS 400LDLN;CON_1009799;CTP_CKV;;601001;120100;0;;FR823;FR;4;06800;;;;;;00,00;100,00;22766
5;20240331;1;POS_1009800_HI_01;2;01/07/2035;GRP_1009800;PROGRESS 400LDLN;CON_1009800;CTP_CKV;;601001;120200;0;;FR824;FR;4;13008;;;;;;100,00;00,00;24074
5;20240331;1;POS_1009801_HI_01;2;01/07/2030;GRP_1009801;PROGRESS 400LDLN;CON_1009801;CTP_CKV;;601001;120200;0;;FR823;FR;4;06000;;;;;;100,00;00,00;24380
5;20240331;1;POS_1009804_HI_01;2;01/07/2025;GRP_1009804;PROGRESS 400LDLN;CON_1009804;CTP_CKV;;601001;120100;0;;FR101;FR;4;75002;;;;;;00,00;100,00;24258
5;20240331;1;POS_1009806_HI_01;2;01/07/2040;GRP_1009806;PROGRESS 400LDLN;CON_1009806;CTP_CKV;;601001;120200;0;;FR824;FR;4;13210;;;;;;100,00;00,00;24262
5;20240331;1;POS_1009808_HI_01;2;01/07/2030;GRP_1009808;PROGRESS 400LDLN;CON_1009808;CTP_CKV;;601001;120200;0;;FR103;FR;4;78430;;;;;;100,00;00,00;23942
5;20240331;1;POS_1009812_HI_01;2;01/07/2030;GRP_1009812;PROGRESS 400LDLN;CON_1009812;CTP_CKV;;601001;120200;0;;FR107;FR;4;94430;;;;;;100,00;00,00;23707
5;20240331;1;POS_1009813_HI_01;2;01/07/2030;GRP_1009813;PROGRESS 400LDLN;CON_1009813;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23824
5;20240331;1;POS_1009813_HI_02;2;01/07/2030;GRP_1009813;PROGRESS 400LDLN;CON_1009813;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23825
5;20240331;1;POS_1009814_HI_01;2;01/07/2030;GRP_1009814;PROGRESS 400LDLN;CON_1009814;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23826
5;20240331;1;POS_1009814_HI_02;2;01/07/2030;GRP_1009814;PROGRESS 400LDLN;CON_1009814;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23827
5;20240331;1;POS_1009814_HI_03;2;01/07/2030;GRP_1009814;PROGRESS 400LDLN;CON_1009814;CTP_CKV;;601001;120100;0;;FR716;FR;4;69100;;;;;;00,00;100,00;23828
5;20240331;1;POS_1009814_HI_04;2;01/07/2030;GRP_1009814;PROGRESS 400LDLN;CON_1009814;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23829
5;20240331;1;POS_1009814_HI_05;2;01/07/2030;GRP_1009814;PROGRESS 400LDLN;CON_1009814;CTP_CKV;;601001;120200;0;;FR716;FR;4;69100;;;;;;100,00;00,00;23830
5;20240331;1;POS_1009815_HI_01;2;01/07/2030;GRP_1009815;PROGRESS 400LDLN;CON_1009815;CTP_CKV;;601001;120200;0;;FR812;FR;4;30133;;;;;;100,00;00,00;24042
5;20240331;1;POS_1009817_HI_01;2;01/07/2040;GRP_1009817;PROGRESS 400LDLN;CON_1009817;CTP_CKV;;601001;120200;0;;FR101;FR;4;75016;;;;;;100,00;00,00;24384
5;20240331;1;POS_1009819_HI_01;2;01/07/2030;GRP_1009819;PROGRESS 400LDLN;CON_1009819;CTP_CKV;;601001;120100;0;;FR823;FR;4;06530;;;;;;00,00;100,00;24195
5;20240331;1;POS_1009819_HI_02;2;01/07/2030;GRP_1009819;PROGRESS 400LDLN;CON_1009819;CTP_CKV;;601001;120200;0;;FR823;FR;4;06130;;;;;;100,00;00,00;24196
5;20240331;1;POS_1009821_HI_01;2;01/07/2030;GRP_1009821;PROGRESS 400LDLN;CON_1009821;CTP_CKV;;601001;120200;0;;FR102;FR;4;77470;;;;;;100,00;00,00;24390
5;20240331;1;POS_1009823_HI_01;2;01/07/2040;GRP_1009823;PROGRESS 400LDLN;CON_1009823;CTP_CKV;;601001;120200;0;;FR105;FR;4;92600;;;;;;100,00;00,00;24181
